Frequency analysis for file: Resources\normalText.txt
 kn - 350 - 0.11 %
 ia - 349 - 0.11 %
 ny - 349 - 0.11 %
 pi - 347 - 0.11 %
 by - 343 - 0.11 %
 ff - 340 - 0.11 %
 rm - 340 - 0.11 %
 ui - 335 - 0.10 %
 gi - 334 - 0.10 %
 nl - 331 - 0.10 %
 hr - 327 - 0.10 %
 lu - 327 - 0.10 %
 ue - 310 - 0.10 %
 rl - 299 - 0.09 %
 ki - 295 - 0.09 %
 lf - 290 - 0.09 %
 ft - 288 - 0.09 %
 sc - 288 - 0.09 %
 au - 286 - 0.09 %
 gl - 284 - 0.09 %
 ob - 282 - 0.09 %
 rg - 281 - 0.09 %
 ys - 280 - 0.09 %
 hu - 277 - 0.09 %
 tw - 276 - 0.09 %
 fu - 265 - 0.08 %
 um - 259 - 0.08 %
 oi - 257 - 0.08 %
 pu - 254 - 0.08 %
 af - 252 - 0.08 %
 ls - 250 - 0.08 %
 nn - 250 - 0.08 %
 ib - 227 - 0.07 %
 dy - 226 - 0.07 %
 ms - 226 - 0.07 %
 ub - 225 - 0.07 %
 sm - 223 - 0.07 %
 oa - 220 - 0.07 %
 ua - 208 - 0.06 %
 sl - 206 - 0.06 %
 cc - 205 - 0.06 %
 lt - 204 - 0.06 %
 dl - 203 - 0.06 %
 sk - 203 - 0.06 %
 gu - 200 - 0.06 %
 dd - 199 - 0.06 %
 ud - 192 - 0.06 %
 ip - 191 - 0.06 %
 rc - 186 - 0.06 %
 va - 185 - 0.06 %
 mb - 184 - 0.06 %
 je - 180 - 0.06 %
 ps - 178 - 0.06 %
 du - 177 - 0.06 %
 eg - 175 - 0.05 %
 ju - 173 - 0.05 %
 fl - 171 - 0.05 %
 ks - 167 - 0.05 %
 hy - 162 - 0.05 %
 rv - 156 - 0.05 %
 sw - 155 - 0.05 %
 ik - 154 - 0.05 %
 mm - 154 - 0.05 %
 bi - 152 - 0.05 %
 nu - 151 - 0.05 %
 wr - 150 - 0.05 %
 nf - 147 - 0.05 %
 pt - 147 - 0.05 %
 bs - 143 - 0.04 %
 xp - 141 - 0.04 %
 og - 131 - 0.04 %
 vo - 130 - 0.04 %
 lk - 124 - 0.04 %
 yi - 118 - 0.04 %
 gg - 114 - 0.04 %
 gs - 114 - 0.04 %
 ph - 113 - 0.04 %
